Normalised,Name,Role,Label
john halligan,John Halligan,Minister of State,"Department of Jobs, Enterprise and Innovation"
john healy,John Healy,Director of Services or Equivalent,South Dublin County Council
john hearne,John Hearne,Councillor,Waterford and City Council
john hegarty,John Hegarty,Councillor,Wexford County Council
john hennessey,John Hennessey,Director,Department of Health
john hennessy,John Hennessy,Director,Department of Health
john hogan,John Hogan,Assistant Secretary,Department of Finance
john joe culloty,John Joe Culloty,Councillor,Kerry County Council
john joe fennelly,John Joe Fennelly,Councillor,Laois County Council
john kelly,John Kelly,Senator,Seanad
john kennedy,John Kennedy,Councillor,Dun Laoghaire-Rathdown County Council
john keogh,John Keogh,Councillor,Roscommon County Council
john king,John King,Councillor,Laois County Council
john lahart,John Lahart,Councillor,South Dublin County Council
john leahy,John Leahy,Councillor,Offaly County Council
john loftus,John Loftus,Councillor,Limerick City and County Council
john lucid,John Lucid,Councillor,Kerry County Council
john lyons,John Lyons,Councillor,Dublin City Council
john mahony,John Mahony,TD,Galway County Council
john mccarthy,John McCarthy,Assistant Secretary,Department of Finance
john mccartin,John McCartin,Councillor,Leitrim County Council
john mcdaid,John McDaid,Chief Executive Officer,The Legal Aid Board
john mcdermott,John McDermott,Assistant Secretaries or Equivalent Grades,Department of Education and Skills
john mcgahon,John McGahon,Councillor,Louth County council
john mcginley,John McGinley,Councillor,Kildare County Council
john mcguinness,John McGuinness,Director of Services or Equivalent,Leitrim County Council
john mckeon,John McKeon,Assistant Secretary,Department of Social Protection
john mclaughlin,John McLaughlin,Director of Services or Equivalent,Donegal County Council
john mcmahon,John McMahon,Commissioner,The Office of Public Works
john moran,John Moran,Councillor,Laois County Council
john mulholland,John Mulholland,CEO,Kilkenny County Council
john murphy,John Murphy,Councillor,Carlow County Council
john naughten,John Naughten,Councillor,Roscommon County Council
john neary,John Neary,Assistant Secretary,Department of Foreign Affairs and Trade
johnny flynn,Johnny Flynn,Councillor,Clare County Council
johnny guirke,Johnny Guirke,Councillor,Meath County Council
johnny mythen,Johnny Mythen,Councillor,Wexford County Council
johnny penrose,Johnny Penrose,Councillor,Westmeath County Council
john o callaghan,John O'Callaghan,Assistant Secretary,Department of Justice and Equality
john odonnell,John ODonnell,Councillor,Donegal County Council
john o fearraigh,John O'Fearraigh,Councillor,Donegal County Council
john o hara,John O'Hara,Councillor,Mayo County Council
john o leary,John O'Leary,Councillor,Waterford and City Council
john o mahony,John O'Mahony,Senator,Seanad
john oneill,John ONeill,Director of Services or Equivalent,Cork County Council
john o rourke,John O'Rourke,Councillor,Wexford County Council
john o?sullivan,John O’Sullivan,Commissioner of Valuation and Chief Boundary Surveyor,The Valuation Office
john o sullivan,John O'Sullivan,Councillor,Cork County Council
john paul browne,John Paul  Browne,Councillor,Fingal County Council
john paul feeley,John Paul Feeley,Councillor,Cavan County Council
john paul oshea,John Paul OShea,Councillor,Cork County Council
john paul phelan,John Paul Phelan,TD,"Dáil Éireann, the Oireachtas"
john pender,John Pender,Councillor,Carlow County Council
john perry,John Perry,TD,"Dáil Éireann, the Oireachtas"
john pratt,John Pratt,Councillor,Waterford and City Council
john quinlivan,John Quinlivan,Director of Services or Equivalent,Fingal County Council
john roycroft,John Roycroft,Director,Department of Justice and Equality
john ryan,John Ryan,Councillor,Donegal County Council
john shaw,John Shaw,Assistant Secretary,Department of the Taoiseach
john sheahan,John Sheahan,Councillor,Kerry County Council
john sheamuis o fearraigh,John Shéamuis Ó Fearraigh,Councillor,Donegal County Council
john sheehan,John Sheehan,Councillor,Cork City Council
john snell,John Snell,Councillor,Wicklow County Council
john sydenham,John Sydenham,Commissioner,The Office of Public Works
john walsh,John Walsh,Councillor,Galway City Council
john whelan,John Whelan,Senator,Seanad
jonathan dowdall,Jonathan Dowdall,Councillor,Dublin City Council
jonathan graham,Jonathan Graham,Councillor,South Dublin County Council
jonathan hoare,Jonathan Hoare,Special Adviser,"Department of Agriculture, Food and the Marine"
jonathan o brien,Jonathan O'Brien,TD,"Dáil Éireann, the Oireachtas"
jonny healy rae,Jonny Healy Rae,Councillor,Kerry County Council
josepha madigan,Josepha Madigan,Councillor,Dun Laoghaire-Rathdown County Council
joseph gilhooly,Joseph Gilhooly,Director of Services or Equivalent,Leitrim County Council
joseph queenan,Joseph Queenan,Councillor,Sligo County Council
joyce duffy,Joyce Duffy,The Courts Service,Department of Justice and Equality
j p kavanagh,J P Kavanagh,Assistant Secretary,Department of Foreign Affairs and Trade
julian clare,Julian Clare,Director,Department of Foreign Affairs and Trade
june murphy,June Murphy,Councillor,Cork County Council
justin sinnott,Justin Sinnott,Councillor,Fingal County Council
justin warnock,Justin Warnock,Councillor,Leitrim County Council
karen furlong,Karen Furlong,Councillor,Carlow County Council
karen o connell,Karen O'Connell,Special Advisor,Department of Social Protection
karey mchugh,Karey McHugh,Councillor,Galway County Council
karl cashen,Karl Cashen,Director of Services or Equivalent,Tipperary County Council
karl gill,Karl Gill,Councillor,Dun Laoghaire-Rathdown County Council
karl mitchell,Karl Mitchell,Head of Unit,Dublin City Council
kate feeney,Kate Feeney,Councillor,Dun Laoghaire-Rathdown County Council
kate freeny,Kate Freeny,Councillor,Dun Laoghaire-Rathdown County Council
kate o connell,Kate O'Connell,Councillor,Dublin City Council
katherine licken,Katherine Licken,Assistant Secretary,"Department of Communications, Climate Action & Environment"
katherine zappone,Katherine Zappone,Minister,Department of Children and Youth Affairs
kathleen codd-nolan,Kathleen Codd-Nolan,Councillor,Wexford County Council
kathleen funchion,Kathleen Funchion,Councillor,Kilkenny County Council
kathleen galvin,Kathleen Galvin,Assistant Secretary,Department of Education and Skills
kathleen holohan,Kathleen Holohan,CEO,Carlow County Council
kathleen lynch,Kathleen Lynch,Minister of State,Department of Health
kathleen shanagher,Kathleen Shanagher,Councillor,Roscommon County Council
kathleen stack,Kathleen Stack,Assistant Secretary,Department of Social Protection
kathryn reilly,Kathryn Reilly,Senator,Seanad
kathyann barrett,Kathyann Barrett,Special Adviser,Department of Health
kathy fagan,Kathy Fagan,Specialist,"Department of Transport, Tourism and Sport"
kathy quinn,Kathy Quinn,Director of Services or Equivalent,Dublin City Council
kay dawson,Kay Dawson,Councillor,Cork County Council
keith doyle,Keith Doyle,Councillor,Wexford County Council
keith henry,Keith Henry,Councillor,Sligo County Council
keith redmond,Keith Redmond,Councillor,Fingal County Council
keith swanick,Keith Swanick,Senator,Seanad
ken farrell,Ken Farrell,Councillor,Fingal County Council
ken glynn,Ken Glynn,Councillor,Westmeath County Council
ken kavanagh,Ken Kavanagh,Director of Services or Equivalent,Kildare County Council
ken murnane,Ken Murnane,Councillor,Carlow County Council
kenneth collins,Kenneth Collins,Councillor,Cork City Council
kenneth egan,Kenneth Egan,Councillor,South Dublin County Council
kenneth flood,Kenneth Flood,Councillor,Louth County council
kenneth noel o flynn,Kenneth Noel O'Flynn,Councillor,Cork City Council
kenneth spratt,Kenneth Spratt,Assistant Secretary,"Department of Communications, Energy and Natural Resources"
ken o leary,Ken O'Leary,Assistant Secretary,Department of Justice and Equality
ken spratt,ken spratt,Assistant Secretary,"Department of Transport, Tourism and Sport"
kevin byrne,Kevin Byrne,Councillor,Kildare County Council
kevin callan,Kevin Callan,Councillor,Louth County council
kevin conway,Kevin Conway,Councillor,Cork County Council
kevin daly,Kevin Daly,Councillor,Dun Laoghaire-Rathdown County Council
kevin doyle,Kevin Doyle,Special Adviser,"Department of Transport, Tourism and Sport"
kevin duffy,Kevin Duffy,Chairman,"Department of Jobs, Enterprise and Innovation"
kevin humphreys,Kevin Humphreys,Minister of State,Department of Social Protection
kevin kelly,Kevin Kelly,CEO,Galway County Council
kevin mccarthy,Kevin McCarthy,Assistant Secretary,Department of Education and Skills
kevin meenan,Kevin Meenan,Councillor,Louth County council
kevin moran,Kevin Moran,Councillor,Westmeath County Council
kevin murphy,Kevin Murphy,Councillor,Cork County Council
kevin o keeffe,Kevin O'Keeffe,Councillor,Cork County Council
kevin o sullivan,Kevin O'Sullivan,Director,Department of Justice and Equality
kevin sheahan,Kevin Sheahan,Councillor,Limerick City and County Council
kevin smyth,Kevin Smyth,Assistant Secretary,"Department of Agriculture, Food and the Marine"
kevin stewart,Kevin Stewart,Director of Services or Equivalent,Meath County Council
kieran binchy,Kieran Binchy,Councillor,Dublin City Council
kieran bourke,Kieran Bourke,Councillor,Tipperary County Council
kieran dennison,Kieran Dennison,Councillor,Fingal County Council
kieran kehoe,Kieran Kehoe,Director of Services or Equivalent,Laois County Council
kieran lehane,Kieran Lehane,Transporation & Travel/Environment,Limerick City and County Council
kieran mahon,Kieran Mahon,Councillor,South Dublin County Council
kieran mccarthy,Kieran McCarthy,Councillor,Cork City Council
kieran mulvey,Kieran Mulvey,Chief Executive Officer,"Department of Jobs, Enterprise and Innovation"
kieran o donnell,Kieran O'Donnell,Senator,Seanad
kieran o hanlon,Kieran O'Hanlon,Councillor,Limerick City and County Council
kieran rose,Kieran rose,Director,Dublin City Council
labhras o murchu,Labhrás Ó Murchú,Senator,Seanad
lar power,Lar Power,Director of Services or Equivalent,Waterford and City Council
larry cashman,Larry Cashman,Chief Agricultural Inspector,"Department of Agriculture, Food and the Marine"
larry o brien,Larry O'Brien,Councillor,Wexford County Council
larry otoole,Larry OToole,Councillor,Dublin City Council
laura mcgonigle,Laura McGonigle,Councillor,Cork City Council
laurena mitchell,Laurena Mitchell,Director of Services or Equivalent,Galway City Council
laurence fallon,Laurence Fallon,Councillor,Roscommon County Council
leonard cleary,Leonard Cleary,Director of Services or Equivalent,Clare County Council
leo varadkar,Leo Varadkar,Minister,Department of Health
leslie moore,Leslie Moore,Assistant Secretary,Dublin City Council
les moore,Les Moore,Assistant Secretary,Dublin City Council
lettie mccarthy,Lettie McCarthy,Councillor,Dun Laoghaire-Rathdown County Council
liadh ni riada,Liadh Ni Riada,MEP,European Parliament
liadh ni riadh,Liadh Ní Riadh,MEP,European Parliament
liam blaney,Liam Blaney,Councillor,Donegal County Council
liam brazil,Liam Brazil,Councillor,Waterford and City Council
liam burke,Liam Burke,Head of Unit,Fingal County Council
liam cahill,Liam Cahill,Special Advisor,"Department of Environment, Community and Local Government"
liam campbell,Liam Campbell,Director,"Department of Environment, Community and Local Government"
liam conneally,Liam Conneally,Director of Services or Equivalent,Clare County Council
liam dockery,Liam Dockery,Councillor,Dun Laoghaire-Rathdown County Council
liam doherty,Liam Doherty,Councillor,Donegal County Council
liam fitzgerald,Liam Fitzgerald,Director of Services or Equivalent,Carlow County Council
liam galvin,Liam Galvin,Councillor,Limerick City and County Council
liam gavin,Liam Gavin,Director of Services or Equivalent,Galway County Council
liam irwin,Liam Irwin,Commissioner,The Office of the Revenue Commissioners
liam kelly,Liam Kelly,Chief Operations Officer,"Department of Jobs, Enterprise and Innovation"
liam mccarthy,Liam McCarthy,Head of Finance,Tipperary County Council
liam morris,Liam Morris,Economic Adviser,Department of Foreign Affairs and Trade
liam o daly,Liam O'Daly,Director General,The Office of the Attorney General
liam purtill,Liam Purtill,Councillor,Kerry County Council
liam quinn,Liam Quinn,Councillor,Offaly County Council
liam reilly,Liam Reilly,Councillor,Louth County council
liam twomey,Liam Twomey,TD,"Dáil Éireann, the Oireachtas"
liam ward,Liam Ward,Director of Services or Equivalent,Donegal County Council
lil o? donnell,Lil O’ Donnell,Councillor,Cork City Council
linda mulligan,Linda Mulligan,Deputy State Pathologist,Department of Justice and Equality
liona o toole,Liona O'Toole,Councillor,South Dublin County Council
lisa chambers,Lisa Chambers,Councillor,Mayo County Council
lisa marie sheehy,Lisa Marie Sheehy,Councillor,Limerick City and County Council
lisa mcdonald,Lisa McDonald,Councillor,Wexford County Council
liz barry,Liz Barry,Director of Services or Equivalent,Cork County Council
liz donavon,Liz Donavon,Customer Services,Cork City Council
liz donnovan,Liz Donnovan,Customer Services,Cork City Council
liz finn,Liz Finn,Specialist,Department of Foreign Affairs and Trade
lola o sullivan,Lola O'Sullivan,Councillor,Waterford and City Council
lorcan fullam,Lorcan Fullam,Assistant Secretary,Department of the Taoiseach
lorcan o connor,Lorcan O'Connor,Director,Department of Justice and Equality
lorna maxwell,Lorna Maxwell,Director of Services or Equivalent,South Dublin County Council
lorna nolan,Lorna Nolan,Councillor,Fingal County Council
lorraine clifford-lee,Lorraine Clifford-Lee,Senator,Seanad
lorraine hall,Lorraine Hall,Special Advisor,"Department of Arts, Heritage and the Gaeltacht"
lorraine higgins,Lorraine Higgins,Senator,Seanad
lorraine lynch,Lorraine Lynch,Head of Finance,Cork County Council
loughlin quinn,Loughlin Quinn,Director of Services or Equivalent,"Department of Jobs, Enterprise and Innovation"
louis duffy,Louis Duffy,Director of Services or Equivalent,Cork County Council
louise dunne,Louise Dunne,Councillor,South Dublin County Council
louise mcloughlin,Louise McLoughlin,Councillor,Tipperary County Council
louise o reilly,Louise O'Reilly,TD,"Dáil Éireann, the Oireachtas"
lucinda creighton,Lucinda Creighton,TD,"Dáil Éireann, the Oireachtas"
lucy fallon byrne,Lucy Fallon Byrne,Assistant Secretaries or Equivalent Grades,Department of Public Expenditure and Reform
luie mcentee,Luie McEntee,Councillor,Longford County Council
luke ming flanagan,Luke Ming Flanagan,MEP,European Parliament
lynn boylan,Lynn Boylan,MEP,European Parliament
lynn ruane,Lynn Ruane,Senator,Seanad
lynsey mcgovern,Lynsey McGovern,Councillor,Dun Laoghaire-Rathdown County Council
madeleine johansson,Madeleine Johansson,Councillor,South Dublin County Council
madeleine mulrennan,Madeleine Mulrennan,Special Advisor,"Department of Communications, Energy and Natural Resources"
madeline argue,Madeline Argue,Councillor,Cavan County Council
mae sexton,Mae Sexton,Councillor,Longford County Council
maeve anna yore,Maeve Anna Yore,Councillor,Louth County council
mags murray,Mags Murray,Councillor,Fingal County Council
mairead farrell,Mairead Farrell,Councillor,Galway City Council
mairead mcguinness,Mairead McGuinness,MEP,European Parliament
maire devine,Máire Devine,Councillor,South Dublin County Council
mairia cahill,Máiría Cahill,Senator,Seanad
majella fitzpatrick,Majella Fitzpatrick,Adviser to Minister,Department of Health
majella hunt,Majella Hunt,Director of Services or Equivalent,Roscommon County Council
malachy mccreesh,Malachy McCreesh,Councillor,Limerick City and County Council
malachy noone,Malachy Noone,Councillor,Galway County Council
malachy quinn,Malachy Quinn,Councillor,Fingal County Council
malcolm byrne,Malcolm Byrne,Councillor,Wexford County Council
malcolm noonan,Malcolm Noonan,Councillor,Kilkenny County Council
mannix flynn,Mannix Flynn,Councillor,Dublin City Council
marcella corcoran kennedy,Marcella Corcoran Kennedy,Minister,Department of Health
marcia d alton,Marcia D'Alton,Councillor,Cork County Council
marc macsharry,Marc MacSharry,Senator,Seanad
marcus glynn,Marcus Glynn,Economic Adviser,European Parliament
marcus o?connor,Marcus O’Connor,Director of Services or Equivalent,Tipperary County Council
margaret geraghty,Margaret Geraghty,Director of Services or Equivalent,Dublin City Council
margaret gormley,Margaret Gormley,Councillor,Sligo County Council
margaret hayes,Margaret Hayes,Director of Services or Equivalent,Dublin City Council
margaret murphy o mahony,Margaret Murphy O'Mahony,Councillor,Cork County Council
marguerite staunton,Marguerite Staunton,Assistant Secretary,Dublin City Council
maria bailey,Maria Bailey,Councillor,Dun Laoghaire-Rathdown County Council
maria byrne,Maria Byrne,Councillor,Limerick City and County Council
maria doyle,Maria Doyle,Councillor,Louth County council
maria graham,Maria Graham,Assistant Secretary,"Department of Environment, Community and Local Government"
maria melia,Maria Melia,Director of Services or Equivalent,Kilkenny County Council
maria murphy,Maria Murphy,Councillor,Meath County Council
marian harkin,Marian Harkin,MEP,European Parliament
marian hurley,Marian Hurley,Councillor,Limerick City and County Council
marianne butler,Marianne Butler,Councillor,Louth County council
maria o kane,Maria O'Kane,Councillor,Meath County Council
marie baker,Marie Baker,Councillor,Dun Laoghaire-Rathdown County Council
marie casserly,Marie Casserly,Councillor,Sligo County Council
marie cassidy,Marie Cassidy,State Pathologist,Department of Justice and Equality
marie dempsey,Marie Dempsey,Adviser to Minister,Department of Health
marie devine,Marie Devine,Senator,Seanad
marie leydon,Marie Leydon,Director of Services or Equivalent,Sligo County Council
marie-louise o donnell,Marie-Louise O'Donnell,Senator,Seanad
marie moloney,Marie Moloney,Senator,Seanad
marie murphy,Marie Murphy,Councillor,Tipperary County Council
marie sherlock,Marie Sherlock,Special Adviser,"Dáil Éireann, the Oireachtas"
marie therese gallagher,Marie Therese Gallagher,Councillor,Donegal County Council
marie whelan,Marie Whelan,Head of Finance,Sligo County Council
marion,Marion,Customer Services,Department of Children and Youth Affairs
marion mannion,Marion Mannion,Special Advisor,Department of Justice and Equality
marion o? sullivan,Marion O’ Sullivan,Councillor,Cork City Council
marion walsh,Marion Walsh,Chairman,Department of Justice and Equality
mark carpenter,Mark Carpenter,Economic Adviser,"Dáil Éireann, the Oireachtas"
mark casey,Mark Casey,Councillor,Longford County Council
mark costigan,Mark Costigan,Special Advisor,Department of Children and Youth Affairs
mark dalton,Mark Dalton,Councillor,Kildare County Council
mark daly,Mark Daly,Senator,Seanad
mark dearey,Mark Dearey,Councillor,Louth County council
mark griffin,Mark Griffin,Secretary General,"Department of Communications, Climate Action & Environment"
mark kennelly,Mark Kennelly,Chief of Staff,Department of the Taoiseach
mark lohan,mark lohan,Councillor,Galway City Council
mark lynch,Mark Lynch,Councillor,Kildare County Council
mark o doherty,Mark O'Doherty,Special Advisor,Department of the Taoiseach
mark stafford,Mark Stafford,Councillor,Kildare County Council
mark wall,Mark Wall,Councillor,Kildare County Council
mark ward,Mark Ward,Councillor,South Dublin County Council
martina anderson,Martina Anderson,MEP,European Parliament
martina feeney,Martina Feeney,Head of Unit,Department of Foreign Affairs and Trade
martina genockey,Martina Genockey,Councillor,South Dublin County Council
martina kinane,Martina Kinane,Councillor,Galway County Council
martin allidine,Martin Allidine,Director of Engineering Services,Dun Laoghaire-Rathdown County Council
martin aspell,Martin Aspell,Councillor,Kildare County Council
martin baker,Martin Baker,Councillor,Sligo County Council
martin blake,Martin Blake,Chief Veterinary Officer,"Department of Agriculture, Food and the Marine"
martin browne,Martin Browne,Councillor,Tipperary County Council
martin conway,Martin Conway,Senator,Seanad
martin farren,Martin Farren,Councillor,Donegal County Council
martin ferris,Martin Ferris,TD,"Dáil Éireann, the Oireachtas"
martin fraser,Martin Fraser,Secretary General,Department of the Taoiseach
martin hanevy,Martin Hanevy,Assistant Secretary,Department of Education and Skills
martin harley,Martin Harley,Councillor,Donegal County Council
martin heydon,Martin Heydon,TD,"Dáil Éireann, the Oireachtas"
martin keating,Martin Keating,Director of Services or Equivalent,Mayo County Council
martin kenny,Martin Kenny,Councillor,Leitrim County Council
martin lonergan,Martin Lonergan,Councillor,Tipperary County Council
martin lydon,Martin Lydon,Director of Services or Equivalent,Roscommon County Council
martin mcdermott,Martin McDermott,Councillor,Donegal County Council
martin miley jr,Martin Miley Jr,Councillor,Kildare County Council
martin mulleady,Martin Mulleady,Councillor,Longford County Council
martin murphy,Martin Murphy,Councillor,Wexford County Council
martin murray,Martin Murray,Director of Services or Equivalent,Westmeath County Council
martin o reilly,Martin O'Reilly,Councillor,Offaly County Council
martin prendiville,Martin Prendiville,Director of Services or Equivalent,Kilkenny County Council
martin shanagher,Martin Shanagher,Assistant Secretary,"Department of Jobs, Enterprise and Innovation"
martin smyth,Martin Smyth,Director of Operations,Department of Justice and Equality
mary ann o brien,Mary Ann O'Brien,Senator,Seanad
mary bohan,Mary Bohan,Councillor,Leitrim County Council
mary browne,Mary Browne,Head of Unit,Department of Foreign Affairs and Trade
mary butler,Mary Butler,Councillor,Waterford and City Council
mary cavanagh,Mary Cavanagh,Councillor,Kilkenny County Council
mary doyle,Mary Doyle,Assistant Secretary,Department of Education and Skills
mary farrell,Mary Farrell,Councillor,Wexford County Council
mary fayne,Mary Fayne,Councillor,Dun Laoghaire-Rathdown County Council
mary fitzpatrick,Mary Fitzpatrick,Councillor,Dublin City Council
mary freehill,Mary Freehill,Councillor,Dublin City Council
mary hanafin,Mary Hanafin,Councillor,Dun Laoghaire-Rathdown County Council
mary hayes,MARY HAYES,Chief Executive Officer,Cork County Council
mary hegarty,Mary Hegarty,Councillor,Cork County Council
mary henchy,Mary Henchy,Director of Services or Equivalent,Dun Laoghaire-Rathdown County Council
mary hoade,Mary Hoade,Councillor,Galway County Council
mary hourigan,Mary Hourigan,Councillor,Tipperary County Council
mary howard,Mary Howard,Councillor,Clare County Council
mary hurley,Mary Hurley,Assistant Secretary,"Department of Environment, Community and Local Government"
mary kavanagh,Mary Kavanagh,Councillor,Wicklow County Council
mary kenny,Mary Kenny,Special Advisor,Department of Finance
mary lenihan foley,Mary Lenihan Foley,Councillor,Cork County Council
mary lou mcdonald,Mary Lou McDonald,TD,Dáil Éireann
mary mccamley,Mary McCamley,Councillor,Fingal County Council
mary mcdonald,Mary McDonald,Councillor,Wicklow County Council
mary mcloughlin,Mary McLoughlin,Assistant Secretary,Department of Children and Youth Affairs
mary mitchell o connor,Mary Mitchell O'Connor,Minister,"Department of Jobs, Enterprise and Innovation"
mary moran,Mary Moran,Senator,Seanad
mary m. white,Mary M. White,Senator,Seanad
mary pyne,Mary Pyne,Director of Services or Equivalent,Dublin City Council
mary quinn,Mary Quinn,Director of Services or Equivalent,Leitrim County Council
mary roche,Mary Roche,Councillor,Waterford and City Council
mary rose desmond,Mary Rose Desmond,Councillor,Cork County Council
mary ruhane,Mary Ruhane,Head of Unit,Dun Laoghaire-Rathdown County Council
mary ryan,Mary Ryan,Director of Services or Equivalent,Cork County Council
mary shields,Mary Shields,Councillor,Cork City Council
mary sweeney,Mary Sweeney,Councillor,Laois County Council
mathew waine,Mathew Waine,Councillor,Fingal County Council
matt carthy,Matt Carthy,Councillor,Monaghan County Council
matt doran,Matt Doran,Councillor,Kilkenny County Council
matthew collins,Matthew Collins,Assistant Secretary,"Department of Communications, Climate Action & Environment"
matthew lynch,Matthew Lynch,Special Advisor,Department of Justice and Equality
matthew waine,Matthew Waine,Councillor,Fingal County Council
mattie mcgrath,Mattie McGrath,TD,"Dáil Éireann, the Oireachtas"
mattie ryan,Mattie Ryan,Councillor,Tipperary County Council
matt shortt,Matt Shortt,Director of Services or Equivalent,Tipperary County Council
maura healy-rae,Maura Healy-Rae,Councillor,Kerry County Council
maura healy-rate,Maura Healy-Rate,Councillor,Kerry County Council
maura hopkins,Maura Hopkins,Councillor,Roscommon County Council
maureen o?sullivan,Maureen O’Sullivan,Registrar of Companies,"Department of Jobs, Enterprise and Innovation"
maureen o sullivan,Maureen O'Sullivan,TD,"Dáil Éireann, the Oireachtas"
maurice cummins,Maurice Cummins,Senator,Seanad
maurice manning,Maurice Manning,Director of Services or Equivalent,Cork County Council
maurice quinlivan,Maurice Quinlivan,Councillor,Limerick City and County Council
maurice quinn,Maurice Quinn,Secretary General,Department of Defence
maurice shorthall,Maurice Shorthall,Councillor,Kilkenny County Council
melisa halpin,Melisa Halpin,Councillor,Dun Laoghaire-Rathdown County Council
melissa mullane,Melissa Mullane,Councillor,Cork County Council
melissa oneill,Melissa ONeill,Councillor,Kilkenny County Council
michael a creed,Michael A Creed,Councillor,Cork County Council
michael anglim,Michael Anglim,Councillor,Tipperary County Council
michael begley,Michael Begley,Councillor,Clare County Council
michael brennan,Michael Brennan,Specialist,Carlow County Council
michael bunyan,Michael Bunyan,Assistant Secretary,Department of Social Protection
michael burke,Michael Burke,Director of Services or Equivalent,Cork City Council
michael cahill,Michael Cahill,Councillor,Kerry County Council
michael carrigy,Michael Carrigy,Councillor,Longford County Council
michael clarke,Michael Clarke,Councillor,Sligo County Council
michael coleman,Michael Coleman,Councillor,Kildare County Council
michael collins,Michael Collins,Councillor,Cork County Council
michael colreavey,Michael Colreavey,TD,"Dáil Éireann, the Oireachtas"
michael comiskey,Michael Comiskey,Senator,Seanad
michael conaghan,Michael Conaghan,TD,"Dáil Éireann, the Oireachtas"
michael connolly,Michael Connolly,Councillor,Galway County Council
michael creaton,Michael Creaton,Councillor,Roscommon County Council
michael creed,Michael Creed,Councillor,Cork County Council
michael crowe,Michael Crowe,Councillor,Galway City Council
michael curtis,Michael Curtis,Deputy State Pathologist,Department of Justice and Equality
michael d arcy,Michael D'Arcy,Senator,Seanad
michael dollard,Michael Dollard,Councillor,Westmeath County Council
michael donegan,Michael Donegan,Councillor,Limerick City and County Council
michael donnellan,Michael Donnellan,Director General,Department of Justice and Equality
michael doran,Michael Doran,Councillor,Carlow County Council
michael doyle,Michael Doyle,Councillor,Kilkenny County Council
michael easbuig,Michael Easbuig,Councillor,Donegal County Council
michael errity,Michael Errity,Assistant Secretary,"The Houses of the Oireachtas, Corporate and Members' Services Division"
michael fahy,Michael Fahy,Councillor,Galway County Council
michael finnerty,Michael Finnerty,Councillor,Galway County Council
michael fitzgerald,Michael Fitzgerald,Councillor,Tipperary County Council
michael fitzmaurice,Michael Fitzmaurice,Councillor,Galway County Council
michael flahive,Michael Flahive,Assistant Secretary,Department of Justice and Equality
michael gaffey,Michael Gaffey,Assistant Secretary,Department of Foreign Affairs and Trade
michael gallagher,Michael Gallagher,Councillor,Meath County Council
michael geaney,Michael Geaney,Director of Services or Equivalent,Wicklow County Council
michael gladney,Michael Gladney,Assistant Secretaries or Equivalent Grades,The Office of the Revenue Commissioners
michael gleeson,Michael Gleeson,Councillor,Kerry County Council
michael goodwin,Michael Goodwin,"Director, Construction Contracts Adjudication Service","Department of Communications, Climate Action & Environment"
michael harty,Michael Harty,TD,"Dáil Éireann, the Oireachtas"
michael healy-rae,Michael Healy-Rae,TD,"Dáil Éireann, the Oireachtas"
michael heaney,Michael Heaney,Director of Services or Equivalent,Donegal County Council
michael hegarty,Michael Hegarty,Councillor,Cork County Council
michael hillery,Michael Hillery,Councillor,Clare County Council
michael holmes,Michael Holmes,Councillor,Mayo County Council
michael hourigan,Michael Hourigan,Councillor,Limerick City and County Council
michael john crowe,Michael John Crowe,Councillor,Galway City Council
michael keogh,Michael Keogh,Assistant Secretary,Department of Education and Skills
michael kilcoyne,Michael Kilcoyne,Councillor,Mayo County Council
michael kirrane,Michael Kirrane,Director General,Department of Justice and Equality
michael kitt,Michael Kitt,TD,"Dáil Éireann, the Oireachtas"
michael loftus,Michael Loftus,Councillor,Mayo County Council
michael lowry,Michael Lowry,TD,"Dáil Éireann, the Oireachtas"
michael mac donncha,Michael Mac Donncha,Councillor,Dublin City Council
michael manley,Michael Manley,Assistant Secretary,"Department of Communications, Climate Action & Environment"
michael martin,Michael Martin,TD,"Dáil Éireann, the Oireachtas"
michael mcbride,Michael McBride,Councillor,Donegal County Council
michael mccarthy,Michael McCarthy,Councillor,Kilkenny County Council
michael mcdowell,Michael McDowell,Senator,Seanad
michael mcgrath,Michael McGrath,TD,Dáil Éireann
michael mcnamara seo,Michael McNamara SEO,Director of Services or Equivalent,Clare County Council
michael mcnamara,Michael McNamara,TD,"Dáil Éireann, the Oireachtas"
michael merrigan,Michael Merrigan,Councillor,Dun Laoghaire-Rathdown County Council
michael mogie maher,Michael Mogie Maher,Councillor,Galway County Council
michael moore,Michael Moore,Service Operations/Change Management,"Department of Transport, Tourism and Sport"
michael moynihan,Michael Moynihan,TD,"Dáil Éireann, the Oireachtas"
michael mullins,Michael Mullins,Senator,Seanad
michael mullooly,Michael Mullooly,Councillor,Dublin City Council
michael murphy,Michael Murphy,Councillor,Cork County Council
michael nicholson,Michael Nicholson,Director of Services or Equivalent,Wicklow County Council
michael noonan,Michael Noonan,Minister,Department of Finance
michael o brien,Michael O'Brien,Councillor,Dublin City Council
michael obrien,Michael OBrien,Councillor,Dublin City Council
michael o connor,Michael O'Connor,Councillor,Dun Laoghaire-Rathdown County Council
michael o meara,Michael O'Meara,Councillor,Tipperary County Council
michael o ryan,Michael O'Ryan,Councillor,Waterford and City Council
michael o shea,Michael O'Shea,Councillor,Kerry County Council
